day	births
1	7701.0
8	7611.0
15	7771.0
22	7560.0
29	7527.0
36	7804.0
43	7950.0
50	7695.0
57	7881.0
64	7791.0
71	7870.0
78	7729.0
85	7589.0
92	7691.0
99	7445.0
106	7193.0
113	7304.0
120	7135.0
127	7388.0
134	7382.0
141	7570.0
148	7781.0
155	7399.0
162	7581.0
169	7777.0
176	8091.0
183	7976.0
190	8102.0
197	8416.0
204	8563.0
211	8486.0
218	8442.0
225	8532.0
232	8477.0
239	8453.0
246	8355.0
253	8630.0
260	8711.0
267	8647.0
274	8686.0
281	8377.0
288	7873.0
295	7936.0
302	8155.0
309	8011.0
316	7967.0
323	7868.0
330	8068.0
337	8196.0
344	8093.0
351	8172.0
358	7964.0
