	Births
1978-01-02	7527.0
1978-01-03	8825.0
1978-01-04	8859.0
1978-01-05	9043.0
1978-01-06	9208.0
1978-01-09	9172.0
1978-01-10	9089.0
1978-01-11	9210.0
1978-01-12	9259.0
1978-01-13	9138.0
1978-01-16	9458.0
1978-01-17	9339.0
1978-01-18	9120.0
1978-01-19	9226.0
1978-01-20	9305.0
1978-01-23	9252.0
1978-01-24	9416.0
1978-01-25	9090.0
1978-01-26	9387.0
1978-01-27	8983.0
1978-01-30	9184.0
1978-01-31	9152.0
1978-02-01	9159.0
1978-02-02	9218.0
1978-02-03	9167.0
1978-02-06	9225.0
1978-02-07	9328.0
1978-02-08	9139.0
1978-02-09	9247.0
1978-02-10	9527.0
1978-02-13	8966.0
1978-02-14	9859.0
1978-02-15	9285.0
1978-02-16	9103.0
1978-02-17	9238.0
1978-02-20	9021.0
1978-02-21	9252.0
1978-02-22	9335.0
1978-02-23	9268.0
1978-02-24	9552.0
1978-02-27	9262.0
1978-02-28	9705.0
1978-03-01	9132.0
1978-03-02	9304.0
1978-03-03	9431.0
1978-03-06	9294.0
1978-03-07	9573.0
1978-03-08	9212.0
1978-03-09	9218.0
1978-03-10	9583.0
1978-03-13	9022.0
1978-03-14	9525.0
1978-03-15	9284.0
1978-03-16	9327.0
1978-03-17	9480.0
1978-03-20	9135.0
1978-03-21	9663.0
1978-03-22	9307.0
1978-03-23	9159.0
1978-03-24	9157.0
1978-03-27	9100.0
1978-03-28	9293.0
1978-03-29	9195.0
1978-03-30	8902.0
1978-03-31	9318.0
1978-04-03	9114.0
1978-04-04	9439.0
1978-04-05	8852.0
1978-04-06	8969.0
1978-04-07	9077.0
1978-04-10	8870.0
1978-04-11	9023.0
1978-04-12	8606.0
1978-04-13	8724.0
1978-04-14	9012.0
1978-04-17	8702.0
1978-04-18	9205.0
1978-04-19	8720.0
1978-04-20	8582.0
1978-04-21	8892.0
1978-04-24	9017.0
1978-04-25	9077.0
1978-04-26	9019.0
1978-04-27	8839.0
1978-04-28	9047.0
1978-05-01	8900.0
1978-05-02	9422.0
1978-05-03	9051.0
1978-05-04	8672.0
1978-05-05	9101.0
1978-05-08	8987.0
1978-05-09	9307.0
1978-05-10	9273.0
1978-05-11	8903.0
1978-05-12	8975.0
1978-05-15	9195.0
1978-05-16	9200.0
1978-05-17	8913.0
1978-05-18	9044.0
1978-05-19	9000.0
1978-05-22	9089.0
1978-05-23	9210.0
1978-05-24	9196.0
1978-05-25	9180.0
1978-05-26	9514.0
1978-05-29	7780.0
1978-05-30	9630.0
1978-05-31	9600.0
1978-06-01	9435.0
1978-06-02	9303.0
1978-06-05	9127.0
1978-06-06	9606.0
1978-06-07	9328.0
1978-06-08	9075.0
1978-06-09	9362.0
1978-06-12	9201.0
1978-06-13	9264.0
1978-06-14	9216.0
1978-06-15	9175.0
1978-06-16	9350.0
1978-06-19	9543.0
1978-06-20	9672.0
1978-06-21	9266.0
1978-06-22	9405.0
1978-06-23	9598.0
1978-06-26	9348.0
1978-06-27	9857.0
1978-06-28	9701.0
1978-06-29	9630.0
1978-06-30	10080.0
1978-07-03	9284.0
1978-07-04	8433.0
1978-07-05	9675.0
1978-07-06	10184.0
1978-07-07	10241.0
1978-07-10	9877.0
1978-07-11	9852.0
1978-07-12	9705.0
1978-07-13	9984.0
1978-07-14	10438.0
1978-07-17	10026.0
1978-07-18	10357.0
1978-07-19	10015.0
1978-07-20	10386.0
1978-07-21	10332.0
1978-07-24	9960.0
1978-07-25	10349.0
1978-07-26	10091.0
1978-07-27	10192.0
1978-07-28	10307.0
1978-07-31	9890.0
1978-08-01	10145.0
1978-08-02	9824.0
1978-08-03	10128.0
1978-08-04	10051.0
1978-08-07	10206.0
1978-08-08	10442.0
1978-08-09	10142.0
1978-08-10	10284.0
1978-08-11	10162.0
1978-08-14	10127.0
1978-08-15	10502.0
1978-08-16	10053.0
1978-08-17	10377.0
1978-08-18	10355.0
1978-08-21	9967.0
1978-08-22	10229.0
1978-08-23	9900.0
1978-08-24	10152.0
1978-08-25	10173.0
1978-08-28	9998.0
1978-08-29	10387.0
1978-08-30	10063.0
1978-08-31	9849.0
1978-09-01	10114.0
1978-09-04	8481.0
1978-09-05	10023.0
1978-09-06	10703.0
1978-09-07	10292.0
1978-09-08	10371.0
1978-09-11	10154.0
1978-09-12	10425.0
1978-09-13	10149.0
1978-09-14	10265.0
1978-09-15	10265.0
1978-09-18	10304.0
1978-09-19	10711.0
1978-09-20	10488.0
1978-09-21	10499.0
1978-09-22	10349.0
1978-09-25	10414.0
1978-09-26	10498.0
1978-09-27	10344.0
1978-09-28	10175.0
1978-09-29	10368.0
1978-10-02	9927.0
1978-10-03	10378.0
1978-10-04	9928.0
1978-10-05	9949.0
1978-10-06	10052.0
1978-10-09	9765.0
1978-10-10	10351.0
1978-10-11	9873.0
1978-10-12	9824.0
1978-10-13	9755.0
1978-10-16	9531.0
1978-10-17	9938.0
1978-10-18	9388.0
1978-10-19	9502.0
1978-10-20	9625.0
1978-10-23	9425.0
1978-10-24	9576.0
1978-10-25	9328.0
1978-10-26	9501.0
1978-10-27	9537.0
1978-10-30	9457.0
1978-10-31	9333.0
1978-11-01	9321.0
1978-11-02	9245.0
1978-11-03	9774.0
1978-11-06	9507.0
1978-11-07	9769.0
1978-11-08	9501.0
1978-11-09	9609.0
1978-11-10	9652.0
1978-11-13	9606.0
1978-11-14	10014.0
1978-11-15	9536.0
1978-11-16	9568.0
1978-11-17	9835.0
1978-11-20	9592.0
1978-11-21	9950.0
1978-11-22	9548.0
1978-11-23	7915.0
1978-11-24	9037.0
1978-11-27	9825.0
1978-11-28	9814.0
1978-11-29	9438.0
1978-11-30	9396.0
1978-12-01	9592.0
1978-12-04	9767.0
1978-12-05	9881.0
1978-12-06	9402.0
1978-12-07	9480.0
1978-12-08	9398.0
1978-12-11	9686.0
1978-12-12	10063.0
1978-12-13	9509.0
1978-12-14	9524.0
1978-12-15	9951.0
1978-12-18	10196.0
1978-12-19	10605.0
1978-12-20	9998.0
1978-12-21	9398.0
1978-12-22	9008.0
1978-12-25	7846.0
1978-12-26	8902.0
1978-12-27	9907.0
1978-12-28	10177.0
1978-12-29	10401.0
