date	births	dayofyear
1   1978-01-01   7701         1
2   1978-01-02   7527         2
3   1978-01-03   8825         3
4   1978-01-04   8859         4
5   1978-01-05   9043         5
6   1978-01-06   9208         6
7   1978-01-07   8084         7
8   1978-01-08   7611         8
9   1978-01-09   9172         9
10  1978-01-10   9089        10
11  1978-01-11   9210        11
12  1978-01-12   9259        12
13  1978-01-13   9138        13
14  1978-01-14   8299        14
15  1978-01-15   7771        15
16  1978-01-16   9458        16
17  1978-01-17   9339        17
18  1978-01-18   9120        18
19  1978-01-19   9226        19
20  1978-01-20   9305        20
21  1978-01-21   7954        21
22  1978-01-22   7560        22
23  1978-01-23   9252        23
24  1978-01-24   9416        24
25  1978-01-25   9090        25
26  1978-01-26   9387        26
27  1978-01-27   8983        27
28  1978-01-28   7946        28
29  1978-01-29   7527        29
30  1978-01-30   9184        30
31  1978-01-31   9152        31
32  1978-02-01   9159        32
33  1978-02-02   9218        33
34  1978-02-03   9167        34
35  1978-02-04   8065        35
36  1978-02-05   7804        36
37  1978-02-06   9225        37
38  1978-02-07   9328        38
39  1978-02-08   9139        39
40  1978-02-09   9247        40
41  1978-02-10   9527        41
42  1978-02-11   8144        42
43  1978-02-12   7950        43
44  1978-02-13   8966        44
45  1978-02-14   9859        45
46  1978-02-15   9285        46
47  1978-02-16   9103        47
48  1978-02-17   9238        48
49  1978-02-18   8167        49
50  1978-02-19   7695        50
51  1978-02-20   9021        51
52  1978-02-21   9252        52
53  1978-02-22   9335        53
54  1978-02-23   9268        54
55  1978-02-24   9552        55
56  1978-02-25   8313        56
57  1978-02-26   7881        57
58  1978-02-27   9262        58
59  1978-02-28   9705        59
60  1978-03-01   9132        60
61  1978-03-02   9304        61
62  1978-03-03   9431        62
63  1978-03-04   8008        63
64  1978-03-05   7791        64
65  1978-03-06   9294        65
66  1978-03-07   9573        66
67  1978-03-08   9212        67
68  1978-03-09   9218        68
69  1978-03-10   9583        69
70  1978-03-11   8144        70
71  1978-03-12   7870        71
72  1978-03-13   9022        72
73  1978-03-14   9525        73
74  1978-03-15   9284        74
75  1978-03-16   9327        75
76  1978-03-17   9480        76
77  1978-03-18   7965        77
78  1978-03-19   7729        78
79  1978-03-20   9135        79
80  1978-03-21   9663        80
81  1978-03-22   9307        81
82  1978-03-23   9159        82
83  1978-03-24   9157        83
84  1978-03-25   7874        84
85  1978-03-26   7589        85
86  1978-03-27   9100        86
87  1978-03-28   9293        87
88  1978-03-29   9195        88
89  1978-03-30   8902        89
90  1978-03-31   9318        90
91  1978-04-01   8069        91
92  1978-04-02   7691        92
93  1978-04-03   9114        93
94  1978-04-04   9439        94
95  1978-04-05   8852        95
96  1978-04-06   8969        96
97  1978-04-07   9077        97
98  1978-04-08   7890        98
99  1978-04-09   7445        99
100 1978-04-10   8870       100
101 1978-04-11   9023       101
102 1978-04-12   8606       102
103 1978-04-13   8724       103
104 1978-04-14   9012       104
105 1978-04-15   7527       105
106 1978-04-16   7193       106
107 1978-04-17   8702       107
108 1978-04-18   9205       108
109 1978-04-19   8720       109
110 1978-04-20   8582       110
111 1978-04-21   8892       111
112 1978-04-22   7787       112
113 1978-04-23   7304       113
114 1978-04-24   9017       114
115 1978-04-25   9077       115
116 1978-04-26   9019       116
117 1978-04-27   8839       117
118 1978-04-28   9047       118
119 1978-04-29   7750       119
120 1978-04-30   7135       120
121 1978-05-01   8900       121
122 1978-05-02   9422       122
123 1978-05-03   9051       123
124 1978-05-04   8672       124
125 1978-05-05   9101       125
126 1978-05-06   7718       126
127 1978-05-07   7388       127
128 1978-05-08   8987       128
129 1978-05-09   9307       129
130 1978-05-10   9273       130
131 1978-05-11   8903       131
132 1978-05-12   8975       132
133 1978-05-13   7762       133
134 1978-05-14   7382       134
135 1978-05-15   9195       135
136 1978-05-16   9200       136
137 1978-05-17   8913       137
138 1978-05-18   9044       138
139 1978-05-19   9000       139
140 1978-05-20   8064       140
141 1978-05-21   7570       141
142 1978-05-22   9089       142
143 1978-05-23   9210       143
144 1978-05-24   9196       144
145 1978-05-25   9180       145
146 1978-05-26   9514       146
147 1978-05-27   8005       147
148 1978-05-28   7781       148
149 1978-05-29   7780       149
150 1978-05-30   9630       150
151 1978-05-31   9600       151
152 1978-06-01   9435       152
153 1978-06-02   9303       153
154 1978-06-03   7971       154
155 1978-06-04   7399       155
156 1978-06-05   9127       156
157 1978-06-06   9606       157
158 1978-06-07   9328       158
159 1978-06-08   9075       159
160 1978-06-09   9362       160
161 1978-06-10   8040       161
162 1978-06-11   7581       162
163 1978-06-12   9201       163
164 1978-06-13   9264       164
165 1978-06-14   9216       165
166 1978-06-15   9175       166
167 1978-06-16   9350       167
168 1978-06-17   8233       168
169 1978-06-18   7777       169
170 1978-06-19   9543       170
171 1978-06-20   9672       171
172 1978-06-21   9266       172
173 1978-06-22   9405       173
174 1978-06-23   9598       174
175 1978-06-24   8122       175
176 1978-06-25   8091       176
177 1978-06-26   9348       177
178 1978-06-27   9857       178
179 1978-06-28   9701       179
180 1978-06-29   9630       180
181 1978-06-30  10080       181
182 1978-07-01   8209       182
183 1978-07-02   7976       183
184 1978-07-03   9284       184
185 1978-07-04   8433       185
186 1978-07-05   9675       186
187 1978-07-06  10184       187
188 1978-07-07  10241       188
189 1978-07-08   8773       189
190 1978-07-09   8102       190
191 1978-07-10   9877       191
192 1978-07-11   9852       192
193 1978-07-12   9705       193
194 1978-07-13   9984       194
195 1978-07-14  10438       195
196 1978-07-15   8859       196
197 1978-07-16   8416       197
198 1978-07-17  10026       198
199 1978-07-18  10357       199
200 1978-07-19  10015       200
201 1978-07-20  10386       201
202 1978-07-21  10332       202
203 1978-07-22   9062       203
204 1978-07-23   8563       204
205 1978-07-24   9960       205
206 1978-07-25  10349       206
207 1978-07-26  10091       207
208 1978-07-27  10192       208
209 1978-07-28  10307       209
210 1978-07-29   8677       210
211 1978-07-30   8486       211
212 1978-07-31   9890       212
213 1978-08-01  10145       213
214 1978-08-02   9824       214
215 1978-08-03  10128       215
216 1978-08-04  10051       216
217 1978-08-05   8738       217
218 1978-08-06   8442       218
219 1978-08-07  10206       219
220 1978-08-08  10442       220
221 1978-08-09  10142       221
222 1978-08-10  10284       222
223 1978-08-11  10162       223
224 1978-08-12   8951       224
225 1978-08-13   8532       225
226 1978-08-14  10127       226
227 1978-08-15  10502       227
228 1978-08-16  10053       228
229 1978-08-17  10377       229
230 1978-08-18  10355       230
231 1978-08-19   8904       231
232 1978-08-20   8477       232
233 1978-08-21   9967       233
234 1978-08-22  10229       234
235 1978-08-23   9900       235
236 1978-08-24  10152       236
237 1978-08-25  10173       237
238 1978-08-26   8782       238
239 1978-08-27   8453       239
240 1978-08-28   9998       240
241 1978-08-29  10387       241
242 1978-08-30  10063       242
243 1978-08-31   9849       243
244 1978-09-01  10114       244
245 1978-09-02   8580       245
246 1978-09-03   8355       246
247 1978-09-04   8481       247
248 1978-09-05  10023       248
249 1978-09-06  10703       249
250 1978-09-07  10292       250
251 1978-09-08  10371       251
252 1978-09-09   9023       252
253 1978-09-10   8630       253
254 1978-09-11  10154       254
255 1978-09-12  10425       255
256 1978-09-13  10149       256
257 1978-09-14  10265       257
258 1978-09-15  10265       258
259 1978-09-16   9170       259
260 1978-09-17   8711       260
261 1978-09-18  10304       261
262 1978-09-19  10711       262
263 1978-09-20  10488       263
264 1978-09-21  10499       264
265 1978-09-22  10349       265
266 1978-09-23   8735       266
267 1978-09-24   8647       267
268 1978-09-25  10414       268
269 1978-09-26  10498       269
270 1978-09-27  10344       270
271 1978-09-28  10175       271
272 1978-09-29  10368       272
273 1978-09-30   8648       273
274 1978-10-01   8686       274
275 1978-10-02   9927       275
276 1978-10-03  10378       276
277 1978-10-04   9928       277
278 1978-10-05   9949       278
279 1978-10-06  10052       279
280 1978-10-07   8605       280
281 1978-10-08   8377       281
282 1978-10-09   9765       282
283 1978-10-10  10351       283
284 1978-10-11   9873       284
285 1978-10-12   9824       285
286 1978-10-13   9755       286
287 1978-10-14   8554       287
288 1978-10-15   7873       288
289 1978-10-16   9531       289
290 1978-10-17   9938       290
291 1978-10-18   9388       291
292 1978-10-19   9502       292
293 1978-10-20   9625       293
294 1978-10-21   8411       294
295 1978-10-22   7936       295
296 1978-10-23   9425       296
297 1978-10-24   9576       297
298 1978-10-25   9328       298
299 1978-10-26   9501       299
300 1978-10-27   9537       300
301 1978-10-28   8415       301
302 1978-10-29   8155       302
303 1978-10-30   9457       303
304 1978-10-31   9333       304
305 1978-11-01   9321       305
306 1978-11-02   9245       306
307 1978-11-03   9774       307
308 1978-11-04   8246       308
309 1978-11-05   8011       309
310 1978-11-06   9507       310
311 1978-11-07   9769       311
312 1978-11-08   9501       312
313 1978-11-09   9609       313
314 1978-11-10   9652       314
315 1978-11-11   8352       315
316 1978-11-12   7967       316
317 1978-11-13   9606       317
318 1978-11-14  10014       318
319 1978-11-15   9536       319
320 1978-11-16   9568       320
321 1978-11-17   9835       321
322 1978-11-18   8432       322
323 1978-11-19   7868       323
324 1978-11-20   9592       324
325 1978-11-21   9950       325
326 1978-11-22   9548       326
327 1978-11-23   7915       327
328 1978-11-24   9037       328
329 1978-11-25   8275       329
330 1978-11-26   8068       330
331 1978-11-27   9825       331
332 1978-11-28   9814       332
333 1978-11-29   9438       333
334 1978-11-30   9396       334
335 1978-12-01   9592       335
336 1978-12-02   8528       336
337 1978-12-03   8196       337
338 1978-12-04   9767       338
339 1978-12-05   9881       339
340 1978-12-06   9402       340
341 1978-12-07   9480       341
342 1978-12-08   9398       342
343 1978-12-09   8335       343
344 1978-12-10   8093       344
345 1978-12-11   9686       345
346 1978-12-12  10063       346
347 1978-12-13   9509       347
348 1978-12-14   9524       348
349 1978-12-15   9951       349
350 1978-12-16   8507       350
351 1978-12-17   8172       351
352 1978-12-18  10196       352
353 1978-12-19  10605       353
354 1978-12-20   9998       354
355 1978-12-21   9398       355
356 1978-12-22   9008       356
357 1978-12-23   7939       357
358 1978-12-24   7964       358
359 1978-12-25   7846       359
360 1978-12-26   8902       360
361 1978-12-27   9907       361
362 1978-12-28  10177       362
363 1978-12-29  10401       363
364 1978-12-30   8474       364
365 1978-12-31   8028       365
